,0
0,88
1,497
2,486
3,492
4,494
5,483
6,493
7,481
8,481
9,485
10,477
11,485
12,477
13,483
14,496
15,491
16,517
17,520
18,524
19,532
20,525
21,536
22,533
23,525
24,536
25,4
26,488
27,497
28,486
29,492
30,494
31,483
32,493
33,481
34,481
35,485
36,477
37,485
38,477
39,483
40,496
41,491
42,517
43,520
44,524
45,532
46,525
47,536
48,533
49,525
50,536
51,517
52,513
53,510
54,517
55,503
56,514
57,516
58,504
59,515
60,509
61,507
62,513
63,501
64,513
65,513
66,512
67,519
68,508
69,515
70,515
71,499
72,485
73,492
74,515
75,566
76,542
77,527
78,510
79,502
80,509
81,497
82,501
83,501
84,496
85,503
86,496
87,493
88,500
89,489
90,494
91,494
92,484
93,487
94,478
95,483
96,485
97,477
98,495
99,498
100,504
101,519
102,521
103,531
104,532
105,531
106,533
107,524
108,531
109,528
110,517
111,530
112,518
113,518
114,526
115,510
116,521
117,519
118,513
119,521
120,509
121,517
122,522
123,511
124,516
125,512
126,516
127,520
128,505
129,513
130,513
131,507
132,511
133,498
134,509
135,509
136,499
137,513
138,514
139,512
140,516
141,509
142,512
143,510
144,481
145,488
146,497
147,538
148,564
149,532
150,522
151,500
152,504
153,503
154,492
155,502
156,498
157,494
158,501
159,489
160,498
161,497
162,489
163,498
164,489
165,489
166,494
167,478
168,487
169,486
170,483
171,497
172,497
173,516
174,525
175,522
176,537
177,532
178,532
179,538
180,522
181,532
182,526
183,524
184,526
185,515
186,523
187,523
188,513
189,520
190,513
191,515
192,521
193,510
194,519
195,517
196,512
197,521
198,507
199,516
200,512
201,506
202,516
203,508
204,511
205,515
206,506
207,514
208,506
209,502
210,508
211,498
212,509
213,513
214,507
215,519
216,511
217,511
218,513
219,502
220,493
221,479
222,503
223,542
224,567
225,548
226,523
227,499
228,503
229,497
230,494
231,498
232,487
233,497
234,496
235,493
236,499
237,486
238,492
239,489
240,479
241,489
242,480
243,484
244,488
245,477
246,488
247,489
248,493
249,512
250,512
251,528
252,533
253,529
254,538
255,533
256,532
257,534
258,520
259,527
260,523
261,518
262,526
263,512
264,521
265,521
266,510
267,519
268,508
269,510
270,515
271,505
272,517
273,513
274,510
275,515
276,503
277,508
278,508
279,504
280,517
281,507
282,507
283,515
284,502
285,507
286,502
287,503
288,513
289,507
290,512
291,510
292,507
293,518
294,510
295,498
296,476
297,488
298,525
299,569
300,543
301,527
302,505
303,508
304,504
305,489
306,502
307,494
308,497
309,501
310,487
311,498
312,496
313,493
314,492
315,484
316,488
317,488
318,483
319,486
320,479
321,484
322,498
323,496
324,513
325,515
326,520
327,535
328,525
329,535
330,534
331,524
332,535
333,525
334,524
335,526
336,515
337,525
338,520
339,515
340,521
341,511
342,519
343,521
344,510
345,518
346,509
347,514
348,521
349,505
350,512
351,508
352,502
353,514
354,501
355,512
356,518
357,512
358,522
359,512
360,513
361,516
362,491
363,483
364,494
365,522
366,572
367,539
368,526
369,510
370,497
371,508
372,496
373,498
374,501
375,489
376,498
377,496
378,495
379,501
380,487
381,493
382,496
383,486
384,490
385,480
386,484
387,491
388,483
389,495
390,504
391,512
392,527
393,522
394,531
395,533
396,528
397,539
398,528
399,528
400,528
401,521
402,527
403,519
404,514
405,521
406,510
407,520
408,517
409,507
410,518
411,511
412,516
413,517
414,505
415,515
416,513
417,512
418,520
419,501
420,508
421,511
422,506
423,515
424,507
425,510
426,519
427,508
428,517
429,510
430,498
431,483
432,485
433,523
434,559
435,540
436,528
437,505
438,508
439,504
440,494
441,502
442,497
443,498
444,502
445,495
446,498
447,500
448,491
449,496
450,490
451,489
452,492
453,481
454,487
455,486
456,483
457,497
458,490
459,508
460,522
461,516
462,535
463,527
464,530
465,536
466,520
467,534
468,527
469,523
470,527
471,513
472,524
473,519
474,512
475,524
476,510
477,516
478,517
479,511
480,519
481,511
482,512
483,520
484,514
485,519
486,513
487,507
488,514
489,503
490,502
491,510
492,502
493,515
494,514
495,513
496,519
497,507
498,513
499,508
500,473
501,498
502,508
503,558
504,555
505,519
506,516
507,504
508,502
509,507
510,494
511,502
512,498
513,496
514,504
515,490
516,499
517,497
518,490
519,496
520,486
521,484
522,485
523,477
524,486
525,486
526,484
527,497
528,505
529,516
530,524
531,521
532,530
533,531
534,525
535,530
536,520
537,523
538,522
539,514
540,523
541,516
542,519
543,522
544,506
545,520
546,516
547,511
548,520
549,502
550,518
551,515
552,506
553,517
554,506
555,513
556,514
557,505
558,519
559,508
560,508
561,512
562,495
563,511
564,505
565,505
566,513
567,507
568,516
569,514
570,511
571,516
572,492
573,476
574,501
575,522
576,569
577,545
578,518
579,513
580,502
581,500
582,502
583,494
584,497
585,498
586,492
587,501
588,486
589,496
590,495
591,486
592,496
593,482
594,480
595,489
596,480
597,490
598,483
599,488
600,508
601,504
602,516
603,527
604,530
605,540
606,525
607,529
608,537
609,525
610,529
611,520
612,524
613,530
614,511
615,520
616,521
617,513
618,520
619,507
620,517
621,522
622,509
623,516
624,512
625,513
626,520
627,508
628,516
629,513
630,509
631,517
632,505
633,510
634,516
635,500
636,511
637,507
638,508
639,516
640,507
641,515
642,513
643,508
644,518
645,502
646,482
647,490
648,502
649,555
650,559
651,528
652,515
653,495
654,503
655,498
656,493
657,500
658,489
659,494
660,499
661,487
662,497
663,490
664,491
665,494
666,480
667,486
668,484
669,477
670,487
671,480
672,488
673,498
674,497
675,518
676,522
677,527
678,535
679,526
680,535
681,533
682,527
683,535
684,518
685,525
686,526
687,513
688,523
689,516
690,514
691,523
692,510
693,518
694,516
695,512
696,520
697,511
698,516
699,517
700,511
701,518
702,509
703,510
704,518
705,504
706,513
707,512
708,505
709,511
710,500
711,507
712,513
713,507
714,516
715,508
716,509
717,515
718,504
719,501
720,476
721,488
722,519
723,558
724,551
725,528
726,509
727,509
728,502
729,498
730,505
731,492
732,502
733,497
734,493
735,498
736,487
737,491
738,496
739,484
740,492
741,484
742,484
743,488
744,478
745,487
746,491
747,495
748,515
