,0
0,9
1,487
2,514
3,482
4,531
5,531
6,534
7,479
8,465
9,508
10,507
11,491
12,536
13,496
14,5
15,519
16,475
17,479
18,486
19,490
20,503
21,500
22,495
23,494
24,493
25,516
26,499
27,487
28,514
29,482
30,531
31,531
32,534
33,479
34,465
35,508
36,507
37,491
38,536
39,496
40,5505
41,503
42,506
43,511
44,522
45,506
46,608
47,554
48,463
49,473
50,535
51,479
52,626
53,451
54,530
55,480
56,482
57,652
58,406
59,488
60,481
61,513
62,504
63,533
64,568
65,484
66,507
67,521
68,525
69,530
70,526
71,516
72,523
73,544
74,523
75,520
76,536
77,520
78,521
79,539
80,525
81,511
82,518
83,534
84,515
85,515
86,527
87,522
88,515
89,513
90,517
91,493
92,515
93,520
94,512
95,513
96,506
97,508
98,511
99,499
100,512
101,499
102,502
103,509
104,520
105,507
106,506
107,493
108,514
109,501
110,506
111,522
112,499
113,494
114,501
115,504
116,523
117,513
118,505
119,513
120,494
121,496
122,517
123,513
124,510
125,499
126,505
127,501
128,500
129,519
130,511
131,500
132,508
133,482
134,516
135,501
136,510
137,511
138,507
139,500
140,493
141,517
142,509
143,510
144,518
145,505
146,508
147,506
148,513
149,502
150,507
151,505
152,514
153,505
154,484
155,505
156,511
157,505
158,498
159,501
160,500
161,510
162,512
163,509
164,512
165,512
166,508
167,515
168,510
169,508
170,519
171,493
172,520
173,505
174,505
175,508
176,516
177,519
178,507
179,511
180,500
181,507
182,519
183,513
184,514
185,504
186,510
187,494
188,518
189,516
190,509
191,514
192,495
193,507
194,517
195,498
196,497
197,526
198,518
199,501
200,515
201,508
202,502
203,511
204,496
205,525
206,506
207,520
208,514
209,490
210,512
211,515
212,501
213,536
214,512
215,493
216,508
217,501
218,554
219,502
220,501
221,502
222,517
223,525
224,527
225,560
226,480
227,470
228,497
229,493
230,528
231,570
232,584
233,464
234,500
235,457
236,621
237,513
238,484
239,532
240,357
241,564
242,453
243,679
244,423
245,404
246,528
247,476
248,458
249,579
250,443
251,643
252,448
253,457
254,414
255,461
256,644
257,382
258,665
259,471
260,541
261,480
262,414
263,585
264,389
265,715
266,419
267,505
268,466
269,479
270,511
271,515
272,624
273,438
274,474
275,511
276,518
277,501
278,531
279,491
280,544
281,468
282,535
283,488
284,551
285,533
286,435
287,465
288,490
289,672
290,471
291,548
292,562
293,475
294,511
295,512
296,481
297,554
298,517
299,551
300,509
301,494
302,511
303,508
304,506
305,517
306,511
307,511
308,526
309,523
310,509
311,539
312,534
313,521
314,520
315,511
316,507
317,504
318,518
319,524
320,519
321,516
322,524
323,519
324,524
325,514
326,520
327,528
328,512
329,519
330,508
331,511
332,504
333,519
334,526
335,515
336,509
337,504
338,497
339,507
340,506
341,522
342,513
343,513
344,513
345,507
346,509
347,512
348,511
349,511
350,516
351,508
352,505
353,514
354,510
355,502
356,512
357,521
358,498
359,505
360,502
361,501
362,521
363,507
364,513
365,512
366,510
367,503
368,485
369,518
370,508
371,525
372,504
373,499
374,497
375,506
376,506
377,507
378,519
379,514
380,493
381,523
382,509
383,513
384,511
385,519
386,514
387,508
388,510
389,501
390,522
391,516
392,514
393,514
394,520
395,498
396,506
397,524
398,495
399,516
400,510
401,517
402,492
403,535
404,504
405,512
406,508
407,494
408,507
409,504
410,538
411,497
412,505
413,515
414,481
415,505
416,501
417,505
418,528
419,495
420,516
421,499
422,511
423,505
424,480
425,522
426,499
427,507
428,512
429,506
430,570
431,493
432,487
433,499
434,491
435,511
436,480
437,532
438,510
439,503
440,519
441,492
442,576
443,476
444,463
445,523
446,501
447,533
448,493
449,578
450,605
451,568
452,496
453,434
454,435
455,618
456,443
457,526
458,388
459,565
460,426
461,415
462,547
463,443
464,583
465,478
466,543
467,485
468,409
469,552
470,468
471,564
472,435
473,550
474,603
475,400
476,624
477,420
478,365
479,546
480,434
481,615
482,417
483,594
484,481
485,438
486,473
487,472
488,598
489,520
490,550
491,449
492,443
493,544
494,459
495,627
496,480
497,469
498,551
499,511
500,547
501,502
502,617
503,454
504,454
505,529
506,499
507,529
508,521
509,507
510,545
511,494
512,485
513,524
514,533
515,583
516,490
517,488
518,507
519,518
520,531
521,516
522,522
523,502
524,527
525,517
526,521
527,525
528,508
529,523
530,515
531,511
532,531
533,519
534,516
535,522
536,519
537,511
538,510
539,508
540,499
541,509
542,511
543,528
544,524
545,510
546,518
547,516
548,506
549,497
550,516
551,515
552,500
553,505
554,503
555,525
556,517
557,515
558,508
559,513
560,519
561,510
562,510
563,514
564,498
565,519
566,519
567,511
568,514
569,507
570,501
571,488
572,530
573,526
574,511
575,512
576,511
577,510
578,525
579,510
580,501
581,528
582,505
583,512
584,530
585,515
586,514
587,519
588,510
589,496
590,527
591,520
592,509
593,510
594,515
595,507
596,515
597,511
598,519
599,512
600,517
601,505
602,521
603,512
604,503
605,526
606,484
607,540
608,516
609,508
610,501
611,504
612,526
613,505
614,536
615,494
616,498
617,515
618,508
619,510
620,524
621,509
622,504
623,507
624,502
625,531
626,505
627,518
628,512
629,494
630,504
631,516
632,509
633,495
634,527
635,491
636,507
637,506
638,483
639,533
640,497
641,497
642,508
643,505
644,516
645,509
646,537
647,480
648,499
649,486
650,484
651,523
652,527
653,510
654,504
655,491
656,505
657,486
658,532
659,507
660,543
661,489
662,492
663,483
664,536
665,492
666,520
667,509
668,499
669,512
670,483
671,547
672,486
673,548
674,514
675,499
676,483
677,521
678,489
679,544
680,520
681,508
682,504
683,521
684,505
685,544
686,533
687,521
688,512
689,504
690,508
691,503
692,538
693,511
694,537
695,513
696,505
697,512
698,514
699,514
700,527
701,533
702,517
703,504
704,500
705,526
706,513
707,503
708,517
709,521
710,508
711,554
712,495
713,498
714,520
715,495
716,507
717,520
718,512
719,514
720,517
721,507
722,497
723,532
724,550
725,489
726,482
727,507
728,511
729,526
730,553
731,470
732,483
733,511
734,477
735,502
736,532
737,487
738,584
739,444
740,564
741,485
742,409
743,485
744,477
745,581
746,471
747,553
748,519
749,396
750,590
751,496
752,470
753,485
754,498
755,536
756,487
757,575
758,425
759,547
760,461
761,468
762,544
763,494
764,554
765,486
766,496
767,529
768,373
769,575
770,533
771,472
772,476
773,514
774,525
775,456
776,552
777,507
778,490
779,507
780,457
781,546
782,496
783,598
784,450
785,518
786,509
787,477
788,493
789,524
790,482
791,507
792,497
793,622
794,463
795,494
796,515
797,505
798,481
799,516
800,479
801,556
802,456
803,631
804,455
805,472
806,505
807,507
808,452
809,541
810,525
811,560
812,482
813,513
814,513
815,500
816,507
817,493
818,518
819,515
820,516
821,515
822,496
823,524
824,509
825,512
826,511
827,509
828,528
829,505
830,525
831,527
832,509
833,501
834,511
835,508
836,518
837,497
838,512
839,510
840,507
841,502
842,519
843,497
844,509
845,516
846,505
847,507
848,506
849,497
850,497
851,499
852,507
853,496
854,506
855,500
856,496
857,488
858,514
859,521
860,504
861,503
862,500
863,473
864,529
865,517
866,512
867,511
868,501
869,524
870,517
871,510
872,504
873,510
874,515
875,504
876,493
877,511
878,515
879,514
880,512
881,509
882,496
883,512
884,500
885,516
886,519
887,506
888,514
889,497
890,509
891,522
892,504
893,507
894,502
895,504
896,519
897,510
898,500
899,513
900,518
901,511
902,478
903,529
904,525
905,515
906,512
907,502
908,496
909,519
910,510
911,520
912,506
913,515
914,500
915,506
916,509
917,521
918,506
919,509
920,512
921,508
922,509
923,509
924,470
925,545
926,510
927,514
928,508
929,500
930,517
931,513
932,502
933,515
934,502
935,529
936,495
937,520
938,506
939,480
940,537
941,509
942,504
943,518
944,488
945,515
946,492
947,531
948,508
949,500
950,511
951,510
952,505
953,532
954,497
955,494
956,508
957,504
958,505
959,499
960,520
961,515
962,497
963,500
964,519
965,495
966,519
967,529
968,511
969,507
970,495
971,506
972,509
973,509
974,509
975,506
976,512
977,513
978,512
979,512
980,510
981,516
982,515
983,513
984,513
985,507
986,497
987,514
988,516
989,521
990,515
991,509
992,511
993,513
994,510
995,517
996,510
997,517
998,509
999,511
